wos_id,doi,title,abstract,label,source_type,source_specific,isolate_concentrate_flour,modification_step,application_property,trap_type,reason
syn11,doi11,Freeze-Drying Process Parameters Affect Aggregation Behavior and Solubility of Goat Milk Casein,"Goat milk casein is valued for its distinct micelle structure and potential hypoallergenic properties, yet processing effects on its functionality remain underexplored. This study examined how freeze-drying shelf temperature (minus 40 to minus 10 degrees C) influenced goat casein aggregation and solubility. Samples dried at minus 10 degrees C exhibited greater particle aggregation and a solubility decrease to 61%, compared to 88% for samples dried at minus 40 degrees C. Scanning electron microscopy revealed denser, more collapsed microstructures at higher drying temperatures. Optimized freeze-drying conditions are recommended to preserve goat casein functional solubility.",irrelevant,animal,goat milk casein ,protein,freeze?drying shelf temperature,"aggregation, solubility, microstructure (SEM), functional preservation via optimized drying conditions",animal_source,
syn12,doi12,Acid Hydrolysis Modification of Chicken Feather Keratin for Improved Foaming and Emulsifying Properties,"Chicken feather keratin is a low-value poultry byproduct with potential for upcycling into functional protein ingredients. This study applied controlled acid hydrolysis (0.5 to 2.0 M HCl) to feather keratin and assessed resulting foaming and emulsifying properties. Foaming capacity increased from 8% in native keratin to 64% after moderate hydrolysis, while emulsifying activity index rose to 22.1 m2/g. Molecular weight distribution analysis confirmed hydrolysis produced peptides predominantly in the 2 to 15 kDa range. These results suggest acid hydrolysis can convert keratin byproducts into viable functional protein ingredients.",irrelevant,animal,chicken feathers,none,controlled acid hydrolysis,"foaming capacity, emulsifying activity, molecular?weight distribution (2–15?kDa peptides), functional conversion of keratin into usable protein ingredients",animal_source,
syn13,doi13,Spray Drying Conditions Influence Rheological Properties and Gelation of Beef Myofibrillar Protein Isolate,"Beef myofibrillar protein contributes essential gelation and viscosity characteristics to processed meat products. This study evaluated the effect of spray drying inlet temperature (150 to 190 degrees C) on the rheological and gel-forming properties of extracted myofibrillar protein isolate. Protein dried at 170 degrees C retained the highest gel storage modulus and lowest denaturation loss, while higher temperatures caused a 38% reduction in gelation capacity. Protein solubility declined progressively with increasing drying temperature. Findings indicate that moderate spray drying temperatures best preserve the functional gelation properties of myofibrillar protein isolate.",irrelevant,animal,beef muscle,isolate,spray drying,"gel storage modulus, denaturation loss, gelation capacity, solubility, functional preservation via moderate drying temperature",animal_source,
syn14,doi14,Effect of Dry Heat Treatment on Solubility and Emulsifying Properties of Camel Milk Casein,"Camel milk casein differs structurally from bovine casein and has drawn interest for novel dairy applications. This study subjected camel milk casein to dry heat treatment (100 to 140 degrees C, up to 60 min) and measured changes in solubility and emulsifying activity. Moderate heating at 120 degrees C for 30 min increased solubility by 19% and emulsifying activity index by 24%, while prolonged heating above 45 min caused excessive aggregation and reduced functionality. Free sulfhydryl group analysis indicated partial unfolding without extensive crosslinking under optimal conditions. Controlled dry heating is proposed as a means to tailor camel casein functional properties.",irrelevant,animal,camel milk ,protein ,controlled dry heating,"solubility, emulsifying activity, aggregation, free sulfhydryl content, functional tailoring via optimized dry?heat treatment",animal_source,
syn15,doi15,Enzymatic Hydrolysis Modifies Viscosity and Water Holding Capacity of Rabbit Meat Protein Concentrate,Rabbit meat protein concentrate is an emerging lean protein ingredient with potential functional applications in processed foods. This study applied papain hydrolysis (0.5 to 3% enzyme to substrate ratio) to rabbit meat protein concentrate and assessed resulting viscosity and water holding capacity. Mild hydrolysis (1% enzyme) increased water holding capacity from 3.2 to 5.6 g/g while reducing apparent viscosity by 45% at 50 s-1 shear rate. Degree of hydrolysis was confirmed by ninhydrin assay and SDS-PAGE peptide profiling. These results suggest controlled enzymatic hydrolysis is an effective method for tuning rabbit protein concentrate functionality in food systems.,irrelevant,animal,rabbit meat,protein ,papain hydrolysis,"water holding capacity, apparent viscosity, degree of hydrolysis (ninhydrin, SDS?PAGE), functional tuning for food systems",animal_source,
syn16,doi16,Ultrasonication Improves Solubility and Foaming Properties of Mealworm (Tenebrio molitor) Protein Isolate,"Mealworm larvae are gaining attention as an alternative protein source with potential food industry applications, though their protein isolates often show limited functionality. This study applied high intensity ultrasound (20 kHz, 100 to 400 W, 10 min) to Tenebrio molitor protein isolate and evaluated resulting solubility and foaming behavior. Solubility increased from 24% to 58% at pH 7, and foaming capacity rose from 15% to 47% following treatment. Particle size analysis confirmed partial disaggregation of protein bodies without extensive structural unfolding. These results indicate ultrasonication is an effective non-thermal strategy for enhancing mealworm protein functionality.",irrelevant,insect,mealworm (Tenebrio molitor),isolate,high?intensity ultrasound,"solubility, foaming capacity, particle size/disaggregation, non?thermal functional enhancement",insect_source,
syn17,doi17,Enzymatic Hydrolysis Enhances Emulsifying Activity of Black Soldier Fly Larvae Protein Concentrate,"Black soldier fly larvae represent a sustainable protein source with growing interest for food and feed applications, though native protein concentrates exhibit poor emulsifying performance. This study used Alcalase hydrolysis (0.5 to 2.0% enzyme to substrate ratio) to modify black soldier fly protein concentrate and assessed emulsifying activity and stability. Mild hydrolysis (1%) increased emulsifying activity index from 12.3 to 28.6 m2/g and improved emulsion stability by 33% over 24 hours. Degree of hydrolysis was confirmed by trinitrobenzenesulfonic acid assay. Controlled enzymatic hydrolysis is proposed as a practical route to improve the functional performance of black soldier fly protein for food formulation.",irrelevant,insect,black soldier fly larvae,concentrate,enzymatic Alcalase hydrolysis,"emulsifying activity, emulsion stability",insect_source,
syn18,doi18,pH-Shifting Treatment Modifies Gelation Behavior of Silkworm Pupae Protein Isolate,"Silkworm pupae, a byproduct of the silk industry, contain substantial protein that could be valorized for food applications, but gelation properties of extracted isolates remain poorly characterized. This study applied alkaline pH-shifting (pH 11 for 30 min, followed by isoelectric precipitation) to silkworm pupae protein isolate and evaluated gel formation under heat treatment. Treated protein formed gels with 38% higher storage modulus and improved water holding capacity compared to conventionally extracted isolate. Circular dichroism confirmed increased beta-sheet content associated with the pH-shifting process. The results support pH-shifting as an effective modification method for improving silkworm pupae protein gelation functionality.",irrelevant,insect,silkworm pupae,isolate,alkaline pH?shifting,"gel storage modulus, water holding capacity, ??sheet content (CD), improved gelation functionality",insect_source,
syn19,doi19,High Pressure Processing Effects on Viscosity and Water Holding Capacity of House Cricket Protein Concentrate,"House crickets (Acheta domesticus) are widely studied as an edible insect protein source, yet processing effects on their rheological properties remain incompletely understood. This study subjected cricket protein concentrate to high pressure processing (200 to 500 MPa, 10 min) and measured resulting changes in apparent viscosity and water holding capacity. Water holding capacity increased from 3.4 to 5.9 g/g at 400 MPa, while viscosity at 50 s-1 shear rate decreased by 22%. Protein solubility and surface hydrophobicity both increased with pressure level up to 400 MPa before plateauing. These findings suggest moderate high pressure treatment can enhance the functional properties of cricket protein concentrate for food applications.",irrelevant,insect,house crickets (Acheta domesticus),isolate,high?pressure processing ,"water holding capacity, apparent viscosity, solubility, surface hydrophobicity, functional enhancement via moderate pressure treatmen",insect_source,
syn20,doi20,Glycation via Maillard Reaction Improves Thermal Stability of Grasshopper Protein Isolate Emulsions,"Grasshopper protein isolate has demonstrated emulsifying potential, but its stability under thermal processing conditions is limited. This study conjugated grasshopper protein isolate with maltodextrin through controlled dry heating (60 degrees C, 65% relative humidity, up to 5 days) to induce glycation. Glycated protein exhibited a 40% improvement in emulsion stability after heating at 85 degrees C and reduced droplet coalescence during 10 days of storage. FTIR spectroscopy confirmed covalent conjugation between protein and polysaccharide chains. Glycation is presented as an effective approach for improving the thermal functional stability of grasshopper protein-based emulsifiers.",irrelevant,insect,grasshopper,protein,maltodextrin glycation via controlled dry heating,"emulsion stability (thermal + storage), droplet coalescence, FTIR?confirmed covalent conjugation, improved thermal functional stability",insect_source,
syn21,doi21,Effect of Defatting Method on Solubility and Foaming Capacity of Housefly Larvae Protein Powder,"Housefly larvae protein has been proposed as a low-cost alternative protein source, though residual lipid content can interfere with functional performance. This study compared hexane extraction and supercritical CO2 defatting on housefly larvae protein powder and evaluated resulting solubility and foaming capacity. Supercritical CO2 defatted protein showed higher solubility (64% vs 41% at pH 7) and greater foaming capacity (58% vs 32%) compared to hexane defatted samples. Residual lipid content was significantly lower following supercritical extraction, as confirmed by Soxhlet analysis. These results demonstrate that defatting method substantially influences the functional properties of housefly larvae protein powder.",irrelevant,insect,housefly larvae,protein,deaffting,"solubility, foaming capacity, residual lipid content (Soxhlet), functional improvement via supercritical CO? extraction",insect_source,
syn22,doi22,Transglutaminase Crosslinking Enhances Gel Strength of Locust Protein Isolate,"Locusts have attracted interest as a scalable edible insect protein source, but their isolates often form weak, brittle gels unsuitable for structured food applications. This study used microbial transglutaminase (0 to 8 U/g protein) to crosslink locust protein isolate and assessed resulting gel strength and water holding capacity. Crosslinked gels exhibited a 46% increase in gel strength and improved water holding capacity from 62% to 84%. SDS-PAGE confirmed formation of high molecular weight polymers consistent with enzymatic crosslinking. These findings indicate transglutaminase treatment is an effective strategy for improving the gelation functionality of locust protein isolate.",irrelevant,insect,locust,protein,microbial transglutaminase crosslinking,"gel strength, water holding capacity.",insect_source,
syn23,doi23,Pulsed Electric Field Processing Alters Foaming and Interfacial Properties of Buffalo Worm Protein Extract,"Buffalo worms (Alphitobius diaperinus) are an emerging edible insect species with potential functional protein applications, though processing effects on interfacial behavior are limited. This study applied pulsed electric field treatment (10 to 25 kV/cm) to buffalo worm protein extract and measured changes in foaming capacity and interfacial tension. Treated samples exhibited foaming capacity increases of up to 49% and a reduction in oil water interfacial tension of 32%. Free sulfhydryl content increased following treatment, indicating partial protein unfolding, as confirmed by fluorescence spectroscopy. These results support pulsed electric field processing as a non-thermal method for enhancing buffalo worm protein functionality.",irrelevant,insect,buffalo worms (Alphitobius diaperinus),protein,pulsed electric field,"foaming capacity, interfacial tension, free sulfhydryl content, partial unfolding (fluorescence), non?thermal functional enhancement",insect_source,
syn24,doi24,Spray Drying Inlet Temperature Influences Rheological Properties of Termite Protein Concentrate,"Termite protein concentrate has been explored as a regionally relevant alternative protein ingredient, but drying conditions affecting its functional performance are not well characterized. This study evaluated spray drying inlet temperature (140 to 180 degrees C) on rheological and solubility properties of extracted termite protein concentrate. Protein dried at 160 degrees C retained the highest solubility and lowest viscosity loss, while higher temperatures caused a 35% decline in solubility. Differential scanning calorimetry indicated increasing protein denaturation with rising drying temperature. Findings suggest moderate spray drying temperatures best preserve the functional properties of termite protein concentrate.",irrelevant,insect,termite,concentrate,spray drying,"solubility, viscosity, protein denaturation (DSC), functional preservation via moderate drying temperature",insect_source,
syn25,doi25,Acid Hydrolysis Modification of Waxworm Protein for Improved Foaming and Emulsifying Properties,"Waxworms are increasingly studied as an edible insect source with high lipid and protein content, though their native protein exhibits limited functional versatility. This study applied controlled acid hydrolysis (0.5 to 1.5 M HCl) to waxworm protein extract and assessed resulting foaming and emulsifying properties. Foaming capacity increased from 11% in native protein to 55% after moderate hydrolysis, while emulsifying activity index rose to 19.8 m2/g. Molecular weight distribution analysis confirmed hydrolysis produced peptides predominantly in the 3 to 12 kDa range. These results suggest acid hydrolysis can substantially improve the functional performance of waxworm protein extract.",irrelevant,insect,waxworms,protein,controlled acid hydrolysis,"foaming capacity, emulsifying activity, molecular?weight distribution (3–12?kDa peptides), improved functional performance",insect_source,
syn26,doi26,Freeze-Drying Conditions Affect Aggregation and Solubility of Superworm Protein Isolate,"Superworms (Zophobas morio) are a candidate alternative protein source for food applications, yet drying-induced structural changes affecting solubility remain underexplored. This study examined how freeze-drying shelf temperature (minus 40 to minus 15 degrees C) influenced superworm protein isolate aggregation and solubility. Samples dried at minus 15 degrees C exhibited greater particle aggregation and reduced solubility (57%) compared to 85% for samples dried at minus 40 degrees C. Scanning electron microscopy revealed denser, more collapsed microstructures at higher drying temperatures. Optimized freeze-drying conditions are recommended to preserve the functional solubility of superworm protein isolate.",irrelevant,insect,superworms (Zophobas morio),protein,spray drying,"solubility, aggregation, microstructure (SEM), functional preservation via optimized low?temperature drying",insect_source,
syn27,doi27,Deamidation Treatment Enhances Interfacial Properties of Palm Weevil Larvae Protein Isolate,"Palm weevil larvae are a traditionally consumed edible insect with potential as a functional protein ingredient, though native isolates show limited interfacial activity. This study applied enzymatic deamidation using protein glutaminase to modify palm weevil larvae protein isolate and evaluated resulting emulsifying and foaming properties. Deamidated protein showed a 2.8 fold increase in emulsifying activity index and a 41% reduction in oil water interfacial tension. Circular dichroism spectra indicated increased random coil content following treatment. The results indicate deamidation is an effective strategy for broadening the functional application range of palm weevil larvae protein.",irrelevant,insect,palm weevil larvae,isolate,enzymatic deamidation (protein glutaminase),"emulsifying activity, interfacial tension, random coil content (CD), broadened functional application range",insect_source,
syn28,doi28,Microwave-Assisted Extraction Improves Yield and Solubility of Grub Protein Concentrate,"Beetle grub protein concentrate has drawn interest as a nutrient-dense alternative protein source, though extraction method strongly influences functional recovery. This study compared conventional alkaline extraction to microwave-assisted alkaline extraction (700 W, 60 to 180 s) for grub protein concentrate and measured yield and solubility. Microwave-assisted extraction increased protein yield from 58% to 79% and improved solubility at pH 7 from 33% to 62%. Particle size analysis indicated more efficient cell disruption under microwave treatment. These results suggest microwave-assisted extraction is a practical method for improving both yield and functional solubility of grub protein concentrate.",irrelevant,insect,beetle grubs,concentrate,"microwave?assisted alkaline extraction (700?W, 60–180?s) vs conventional alkaline extraction","protein yield, solubility, particle size/cell disruption, improved functional recovery",insect_source,
syn29,doi29,Ultrasound-Assisted Modification of Ant Protein Isolate Foaming and Emulsifying Behavior,"Edible ants represent a traditionally consumed but understudied insect protein source with potential functional applications. This study applied high intensity ultrasound (20 kHz, 150 to 350 W) to ant protein isolate and evaluated resulting foaming capacity and emulsifying activity. Ultrasonicated samples showed foaming capacity increases from 9% to 41% and emulsifying activity index gains from 14.2 to 26.5 m2/g. Surface hydrophobicity increased with treatment intensity, as confirmed by fluorescence probe analysis, without significant protein aggregation. Ultrasound treatment is proposed as a mild processing method to enhance the functional properties of ant protein isolate for food use.",irrelevant,insect,edible ants,isolate,high?intensity ultrasound,"foaming capacity, emulsifying activity, surface hydrophobicity (fluorescence), mild functional enhancement without aggregation",insect_source,
syn30,doi30,Effect of Alkaline Extraction pH on Gelation and Water Holding Capacity of Beetle Protein Isolate,"Darkling beetle protein isolate has been proposed as a functional food ingredient, though extraction conditions strongly affect its gelling behavior. This study evaluated alkaline extraction at pH 9 to 12 on beetle protein isolate and assessed resulting gelation and water holding capacity. Extraction at pH 11 produced protein isolate with the highest gel storage modulus and water holding capacity of 78%, compared to 52% at pH 9. Protein solubility and extraction yield both increased with rising extraction pH up to 11 before declining at pH 12. These findings indicate that alkaline extraction pH is a critical parameter for optimizing beetle protein isolate functional gelation properties.",irrelevant,insect,darkling beetles,protein,alkaline extraction,"gel storage modulus, water holding capacity, solubility, extraction yield, optimized gelation functionality",insect_source,
syn31,doi31,Isolation and Functional Characterization of a Novel Exopolysaccharide from Bacillus subtilis WX-17 Fermentation Broth,"A novel exopolysaccharide, designated bsEPS, was recovered from Bacillus subtilis WX-17 fermentation broth by ethanol precipitation followed by anion exchange and gel filtration chromatography. Structural analysis by FTIR and NMR revealed a heteropolysaccharide backbone composed of glucose, mannose, and galactose in a 3:2:1 ratio, with a molecular weight of 4.2 x 10^4 g/mol. The purified exopolysaccharide showed solubility exceeding 90% at neutral pH and formed viscoelastic gels at concentrations above 2%, with emulsifying activity index of 24.6 m2/g against soybean oil. These findings suggest bsEPS is a promising functional biopolymer for food thickening and stabilizing applications.",irrelevant,microbial,Bacillus subtilis WX?17, exopolysaccharid,fermentation,"solubility (>90% at pH 7), viscoelastic gel formation (>2%), emulsifying activity (24.6?m²/g), functional thickening/stabilizing potential",microbial_source,
syn32,doi32,Solubility and Emulsifying Properties of Single Cell Protein Extracted from Saccharomyces cerevisiae Biomass,"Single cell protein derived from brewer's yeast biomass represents an alternative protein source for food fortification, though its functional performance has been inconsistently reported. This study extracted protein from Saccharomyces cerevisiae biomass using alkaline solubilization followed by isoelectric precipitation and evaluated resulting solubility and emulsifying activity. The isolate exhibited solubility of 68% at pH 7 and an emulsifying activity index of 19.3 m2/g, with emulsion stability of 82% after 24 hours. Amino acid analysis confirmed a favorable essential amino acid profile comparable to conventional protein sources. Results support yeast-derived single cell protein as a viable functional ingredient for food formulation.",irrelevant,microbial,brewer's yeast,biomass,alkaline solubilization ? isoelectric precipitation,"solubility (68% at pH?7), emulsifying activity (19.3?m²/g), emulsion stability (82%/24?h), essential amino acid profile, functional ingredient viability",microbial_source,
syn33,doi33,Enzymatic Modification of Curdlan Gum Produced by Agrobacterium sp. and Its Effect on Gelation Behavior,"Curdlan, a linear beta-1,3-glucan produced by Agrobacterium sp. through submerged fermentation, is valued for its unique thermogelling properties in food systems. This study applied controlled enzymatic modification using beta-glucanase to partially hydrolyze curdlan gum and assessed resulting gel strength and water holding capacity. Mild enzymatic treatment (0.1% enzyme, 30 min) reduced gel storage modulus by 22% while increasing water holding capacity from 71% to 89%. Molecular weight distribution analysis by gel permeation chromatography confirmed partial chain scission. These results demonstrate that enzymatic modification can be used to tailor curdlan gelation functionality for specific food applications.",irrelevant,microbial,Agrobacterium sp.,protein,"fermentation, controlled enzymatic partial hydrolysis ","gel strength, water holding capacity , molecular?weight reduction (GPC), tailored gelation functionality",microbial_source,
syn34,doi34,Optimization of Exopolysaccharide Production by Lactobacillus helveticus MB2-1 and Evaluation of Its Functional Properties,"Exopolysaccharide-producing strain MB2-1, isolated from traditional fermented dairy product, was identified as Lactobacillus helveticus through 16S rRNA sequencing. Fermentation conditions including carbon source, temperature, and incubation time were optimized using response surface methodology, achieving a maximum exopolysaccharide yield of 3.8 g/L. The purified exopolysaccharide exhibited apparent viscosity of 420 mPa.s at 10 s-1 shear rate and demonstrated pseudoplastic flow behavior characteristic of food thickening agents. Water holding capacity of the exopolysaccharide reached 12.4 g/g, substantially higher than commercial xanthan gum controls. These findings indicate strain MB2-1 exopolysaccharide has potential as a functional food additive.",irrelevant,microbial,Lactobacillus helveticus MB2?1,polysaccharide,"fermentation optimization (carbon source, temperature, incubation time) and purification (ethanol precipitation, anion exchange, gel filtration)","viscosity, pseudoplastic flow behavior, water holding capacity, functional thickening and stabilizing potential",microbial_source,
syn35,doi35,Ultrasound-Assisted Extraction Improves Solubility and Foaming Capacity of Mycoprotein Isolated from Fusarium venenatum,"Mycoprotein derived from Fusarium venenatum biomass is an established meat alternative ingredient, though extraction method significantly influences its functional performance. This study applied high intensity ultrasound (20 kHz, 100 to 300 W) during alkaline extraction of mycoprotein and evaluated resulting solubility and foaming properties. Ultrasound-assisted extraction increased protein solubility from 31% to 57% at pH 7 and improved foaming capacity from 18% to 44%. Particle size analysis confirmed enhanced cell wall disruption under ultrasound treatment. These results suggest ultrasound-assisted extraction is an effective method for improving the functional properties of fungal biomass-derived mycoprotein.",irrelevant,microbial,Fusarium venenatum,isolate,ultrasound?assisted alkaline extraction,"solubility, foaming capacity, particle size reduction, improved functional properties",microbial_source,
syn36,doi36,Structural Characterization and Emulsifying Behavior of a Novel Exopolysaccharide from Halophilic Strain Salinivibrio sp. TX-9,"A novel exopolysaccharide, named svEPS, was isolated from the high-salt fermentation broth of a newly characterized halophilic strain, Salinivibrio sp. TX-9, through ethanol precipitation and chromatographic purification. Monosaccharide composition analysis revealed the polymer consisted primarily of mannose, glucuronic acid, and rhamnose, with a molecular weight of 6.7 x 10^4 g/mol. The purified exopolysaccharide displayed strong emulsifying activity index of 31.2 m2/g against sunflower oil and maintained emulsion stability above 85% after two weeks of storage. Rheological testing confirmed shear thinning behavior consistent with functional food-grade hydrocolloids. These findings support svEPS as a candidate natural emulsifier for food applications.",irrelevant,microbial,Salinivibrio sp. TX?9,exopolysaccharide,ethanol precipitation and chromatographic purification; fermentation optimization,"emulsifying activity, emulsion stability, rheology (shear thinning), functional hydrocolloid potential",microbial_source,
syn37,doi37,Effect of Fermentation Time on Gelation and Water Holding Capacity of Pullulan Produced by Aureobasidium pullulans,"Pullulan is a water-soluble exopolysaccharide produced by Aureobasidium pullulans with recognized film-forming and gelling applications in food packaging and formulation. This study evaluated the effect of fermentation time (24 to 96 hours) on pullulan yield and functional properties. Pullulan harvested at 72 hours exhibited maximum yield of 28 g/L along with the highest gel water holding capacity of 15.6 g/g among tested time points. Molecular weight decreased progressively with extended fermentation time, as determined by size exclusion chromatography. Results indicate that fermentation duration is a critical parameter for optimizing the functional gelling properties of pullulan for food use.",irrelevant,microbial,Aureobasidium pullulans,polysaccharide,fermentation,"yield, water holding capacity, molecular weight, functional gelling properties",microbial_source,
