name,occurrence_count,type_conflict,near_tie,type_conflict_detail,resolution_source,llm_resolved,llm_confidence,llm_rationale
gel pseudoplasticity,1,False,False,,,False,,
gel stability,4,False,False,,,False,,
gel stiffness,1,False,False,,,False,,
gel strength,59,True,False,functional_property=57; rheological_property=2,llm,True,high,"Gel strength is a measure of the mechanical properties of a gel, fitting rheological characteristics."
gel structure rupture,1,False,False,,,False,,
gel temperature,1,False,False,,,False,,
general rheological profile,1,False,False,,,False,,
granular and brittle texture,1,False,False,,,False,,
gumminess,14,True,False,rheological_property=13; functional_property=1,llm,True,high,Gumminess is consistently linked to textural-mechanical measurements.
half gelation time,1,False,False,,,False,,
hardness,82,True,False,rheological_property=60; functional_property=22,llm,True,high,"Hardness is consistently linked to mechanical measurements like Young's modulus, indicating its role in characterizing deformation behavior."
hysteresis loop area,1,False,False,,,False,,
increased shear rate,1,False,False,,,False,,
infinite-shear viscosity (η∞),2,False,False,,,False,,
inflexion points of the storage modulus–time curves,1,False,False,,,False,,
initial viscosity,4,False,False,,,False,,
interruption of protein gel network formation,1,False,False,,,False,,
linear strain within the viscoelastic region,1,False,False,,,False,,
linear viscoelastic range,3,False,False,,,False,,
linear viscoelastic region,2,False,False,,,False,,
loss factor,2,False,False,,,False,,
loss factor (Tan δ),1,False,False,,,False,,
loss modulus,13,True,False,rheological_property=11; functional_property=2,llm,True,high,'Loss modulus' is consistently associated with flow and deformation behavior.
loss modulus (G″),9,False,False,,,False,,
lubricating characteristics and properties,3,False,False,,,False,,
maximal gelation rate,2,True,True,functional_property=1; rheological_property=1,llm,True,high,"The entity describes a rate related to gelation, a process involving flow and deformation."
mechanical properties,6,True,True,functional_property=3; rheological_property=3,llm,True,high,"Mechanical properties describe flow and deformation behavior, aligning with rheological characteristics."
mechanical strength,1,False,False,,,False,,
moduli value,2,False,False,,,False,,
n0,1,False,False,,,False,,
non-Newtonian shear-thinning behavior,1,False,False,,,False,,
non-auto-support gels,1,False,False,,,False,,
paste viscosity,1,False,False,,,False,,
pasting temperature,7,False,False,,,False,,
peak viscosity,6,False,False,,,False,,
power law exponent (n′),3,False,False,,,False,,
pre-gel viscosity,1,False,False,,,False,,
protein matrix contraction,1,False,False,,,False,,
rate of elastically active network-chain formation,1,False,False,,,False,,
resilience,7,False,False,,,False,,
resistance,1,False,False,,,False,,
resistance to slip upon inversion,1,False,False,,,False,,
rheological behavior,1,False,False,,,False,,
rheological index (n),1,False,False,,,False,,
rheological properties,5,True,False,rheological_property=4; functional_property=1,llm,True,high,The entity consistently describes flow and deformation behavior.
self-supporting ability,1,False,False,,,False,,
self-supporting characteristics,2,False,False,,,False,,
shear stress,1,False,False,,,False,,
shear thinning behavior,5,True,False,rheological_property=4; functional_property=1,llm,True,high,Shear thinning behavior is consistently described as a flow characteristic.
shear-thinning behaviour,1,False,False,,,False,,
softer gel network,1,False,False,,,False,,
springiness,19,True,False,rheological_property=15; functional_property=4,llm,True,high,Springiness is consistently described as a textural property related to deformation behavior.
stiffness,3,True,False,rheological_property=2; functional_property=1,llm,True,high,Stiffness is consistently linked to mechanical and deformation behavior in gels.
storage and loss moduli,1,False,False,,,False,,
storage modulus,92,True,False,rheological_property=63; functional_property=29,llm,True,high,"The entity 'storage modulus' is consistently described in terms of its role in characterizing the flow and deformation behavior of gels, aligning with the definition of a rheological property."
storage modulus and loss modulus,3,False,False,,,False,,
strain,1,False,False,,,False,,
strain at fracture,4,False,False,,,False,,
strain hardening,1,False,False,,,False,,
strain value,1,False,False,,,False,,
stress at fracture,1,False,False,,,False,,
tan δ,4,False,False,,,False,,
tanδ,4,False,False,,,False,,
tensile strength,1,False,False,,,False,,
textural characteristics,1,False,False,,,False,,
textural properties,4,False,False,,,False,,
"textural properties of foams, emulsions, and gels",1,False,False,,,False,,
texture,1,False,False,,,False,,
texture properties,3,False,False,,,False,,
uniform three-dimensional network structure,1,False,False,,,False,,
viscoelastic properties,1,False,False,,,False,,
viscoelasticity,4,True,True,functional_property=2; rheological_property=2,llm,True,high,Viscoelasticity is consistently described in terms of flow and deformation behavior.
viscosity,46,True,False,rheological_property=38; functional_property=8,llm,True,high,Viscosity is consistently described as a measure of flow behavior in the evidence.
viscosity coefficient (K),1,False,False,,,False,,
viscous behavior,1,False,False,,,False,,
yield point,2,False,False,,,False,,
yield point strain,1,False,False,,,False,,
yield stress,7,True,True,rheological_property=4; functional_property=3,llm,True,high,Yield stress is consistently associated with flow and deformation behavior in gels.
zero shear viscosity,1,False,False,,,False,,
zero-shear viscosity (η0),2,False,False,,,False,,
